pffID,cluster,emp,est
FC1,1,42,2
FC1,6,112,6
FC1,8,7,1
FC1,10,235,12
FC1,13,1,1
FC1,16,8,2
FC1,21,104,2
FC1,22,2,1
FC1,29,5,1
FC1,32,15,2
FC1,38,20,2
FC1,41,1,1
FC1,45,31,6
FC1,49,74,1
FC1,102,25,1
FC1,103,155,3
FC1,105,16,1
FC1,106,51,1
FC1,107,28,3
FC1,108,65,5
FC1,111,6,1
FC1,112,55,13
FC1,114,55,2
FC1,115,219,15
FC1,116,208,8
FC10,4,116,1
FC10,6,55,4
FC10,9,68,2
FC10,10,213,9
FC10,11,131,1
FC10,15,9,1
FC10,22,8,2
FC10,29,34,2
FC10,34,9,1
FC10,42,20,1
FC10,45,281,7
FC10,46,7,1
FC10,101,296,6
FC10,102,5,1
FC10,103,2,1
FC10,105,27,4
FC10,106,22,3
FC10,108,10,4
FC10,109,1220,8
FC10,110,30,1
FC10,111,14,1
FC10,112,22,8
FC10,114,6,3
FC10,115,5,2
FC10,116,9,2
FC11,6,37,6
FC11,9,9,2
FC11,10,648,32
FC11,12,9,1
FC11,15,92,2
FC11,16,4,2
FC11,21,10,1
FC11,23,4,2
FC11,27,3,1
FC11,29,31,1
FC11,30,207,1
FC11,32,39,2
FC11,37,1,1
FC11,41,3,2
FC11,45,4,3
FC11,49,3,1
FC11,51,16,1
FC11,101,8,5
FC11,102,2,2
FC11,103,111,10
FC11,104,64,3
FC11,105,176,6
FC11,106,10,3
FC11,108,25,9
FC11,109,2,2
FC11,111,5,3
FC11,112,44,12
FC11,114,2,1
FC11,115,128,19
FC11,116,21,2
FC12,1,92,1
FC12,4,27,1
FC12,5,424,3
FC12,6,146,20
FC12,8,200,5
FC12,9,32,1
FC12,10,5883,56
FC12,11,46,1
FC12,12,882,9
FC12,13,111,5
FC12,14,5,1
FC12,16,52,13
FC12,18,819,7
FC12,21,198,3
FC12,22,10,3
FC12,23,22,2
FC12,27,497,3
FC12,29,547,10
FC12,30,25,2
FC12,36,4,1
FC12,37,138,4
FC12,38,372,4
FC12,39,1,1
FC12,40,158,3
FC12,41,218,3
FC12,44,24,1
FC12,45,212,12
FC12,48,1,1
FC12,101,1691,16
FC12,102,162,13
FC12,103,235,16
FC12,105,219,15
FC12,106,64,10
FC12,107,826,17
FC12,108,20,7
FC12,109,429,22
FC12,111,69,7
FC12,112,154,39
FC12,113,287,5
FC12,114,350,27
FC12,115,945,47
FC12,116,114,4
FC13,4,48,2
FC13,6,41,9
FC13,10,357,26
FC13,11,4,1
FC13,12,79,4
FC13,13,1,1
FC13,15,5,1
FC13,16,4,3
FC13,18,436,1
FC13,21,1,1
FC13,23,40,1
FC13,27,453,3
FC13,28,36,1
FC13,29,4,2
FC13,30,6,1
FC13,36,132,1
FC13,38,143,4
FC13,40,228,5
FC13,41,1,1
FC13,45,1,1
FC13,47,6,1
FC13,51,15,2
FC13,101,19,5
FC13,102,27,6
FC13,103,56,8
FC13,105,31,5
FC13,106,11,7
FC13,108,136,19
FC13,109,3,3
FC13,111,1,1
FC13,112,136,17
FC13,113,91,3
FC13,114,109,5
FC13,115,210,19
FC13,116,9,4
FC14,2,2,1
FC14,6,3,2
FC14,9,42,1
FC14,10,99,9
FC14,13,65,3
FC14,16,11,5
FC14,29,4,4
FC14,30,21,1
FC14,36,10,1
FC14,39,20,1
FC14,41,173,3
FC14,45,36,3
FC14,101,31,5
FC14,102,1,1
FC14,103,96,28
FC14,104,9,1
FC14,105,11,4
FC14,106,7,3
FC14,107,4,2
FC14,108,215,8
FC14,109,28,2
FC14,111,7,3
FC14,112,26,18
FC14,114,98,8
FC14,115,76,12
FC14,116,11,2
FC15,2,2,1
FC15,6,22,4
FC15,9,12,1
FC15,10,104,11
FC15,15,36,3
FC15,16,2,1
FC15,28,30,1
FC15,29,14,2
FC15,32,10,1
FC15,45,72,2
FC15,50,11,2
FC15,101,2,2
FC15,102,9,2
FC15,103,2,1
FC15,104,46,1
FC15,105,26,4
FC15,106,1,1
FC15,108,175,8
FC15,112,22,12
FC15,114,2,1
FC15,115,227,17
FC15,116,28,4
FC16,6,24,8
FC16,10,1760,73
FC16,13,57,1
FC16,16,6,4
FC16,18,11,1
FC16,22,130,1
FC16,28,52,1
FC16,37,11,1
FC16,38,41,1
FC16,40,127,3
FC16,45,33,4
FC16,50,130,3
FC16,51,1,1
FC16,101,412,13
FC16,103,9,1
FC16,105,96,9
FC16,106,29,3
FC16,107,1,1
FC16,108,27,4
FC16,110,2,1
FC16,111,56,4
FC16,112,59,10
FC16,114,15,3
FC16,115,131,11
FC16,116,3,2
FC17,6,36,7
FC17,10,152,10
FC17,13,2,1
FC17,14,7,1
FC17,15,1,1
FC17,16,1,1
FC17,22,1,1
FC17,29,16,1
FC17,30,23,1
FC17,36,18,1
FC17,37,1,1
FC17,41,10,1
FC17,45,7,5
FC17,50,47,3
FC17,101,770,4
FC17,102,1,1
FC17,105,55,3
FC17,107,16,1
FC17,108,55,7
FC17,109,462,6
FC17,112,597,15
FC17,114,3,3
FC17,115,130,15
FC17,116,34,1
FC18,1,77,3
FC18,4,82,1
FC18,6,118,22
FC18,9,10,1
FC18,10,513,21
FC18,11,4,1
FC18,13,225,3
FC18,15,5,1
FC18,16,41,7
FC18,18,201,2
FC18,21,30,1
FC18,22,638,9
FC18,23,50,1
FC18,24,102,2
FC18,27,42,2
FC18,29,4,2
FC18,33,1,1
FC18,35,177,1
FC18,36,20,1
FC18,37,1,1
FC18,45,1790,27
FC18,50,118,1
FC18,51,8,1
FC18,101,207,7
FC18,102,29,8
FC18,103,214,7
FC18,104,16,2
FC18,105,602,16
FC18,107,206,3
FC18,108,664,23
FC18,109,64,9
FC18,110,65,1
FC18,111,341,11
FC18,112,633,32
FC18,113,40,1
FC18,114,58,8
FC18,115,909,25
FC18,116,4,1
FC19,1,4,1
FC19,5,5,1
FC19,6,113,9
FC19,10,1498,26
FC19,11,135,3
FC19,16,28,2
FC19,21,150,1
FC19,27,410,3
FC19,29,200,10
FC19,30,70,2
FC19,32,10,1
FC19,35,34,3
FC19,36,250,1
FC19,37,29,2
FC19,38,200,1
FC19,40,310,2
FC19,45,39,4
FC19,46,34,1
FC19,47,230,2
FC19,49,209,3
FC19,101,393,7
FC19,102,2,2
FC19,103,33,3
FC19,104,16,2
FC19,106,53,3
FC19,107,252,2
FC19,108,6,3
FC19,111,4,2
FC19,112,34,7
FC19,113,1,1
FC19,114,11,3
FC19,115,359,16
FC19,116,6,2
FC2,3,15,1
FC2,5,127,2
FC2,6,717,46
FC2,8,23,2
FC2,9,47,6
FC2,10,1342,102
FC2,11,292,6
FC2,12,208,9
FC2,15,2,1
FC2,16,171,15
FC2,18,68,2
FC2,21,12,2
FC2,22,2,1
FC2,23,603,26
FC2,27,138,9
FC2,29,287,29
FC2,30,43,3
FC2,32,154,14
FC2,35,29,2
FC2,36,25,1
FC2,38,240,7
FC2,39,27,3
FC2,40,573,13
FC2,41,13,4
FC2,42,5,1
FC2,45,13,4
FC2,46,5,1
FC2,47,21,3
FC2,48,2,1
FC2,49,15,2
FC2,51,20,4
FC2,101,90,9
FC2,102,79,13
FC2,103,96,17
FC2,104,30,3
FC2,105,164,13
FC2,106,147,16
FC2,107,38,10
FC2,108,165,32
FC2,109,3,1
FC2,110,13,2
FC2,111,4,2
FC2,112,241,55
FC2,113,26,3
FC2,114,44,11
FC2,115,1321,121
FC2,116,216,29
FC20,9,14,2
FC20,10,11,3
FC20,29,2,1
FC20,35,608,4
FC20,45,3,1
FC20,46,43,2
FC20,107,6,1
FC20,108,3,1
FC20,112,30,3
FC20,114,45,1
FC20,115,2,2
FC20,116,5,1
FC21,10,17,2
FC21,35,5,1
FC21,105,10,1
FC21,107,2,1
FC21,108,4,2
FC21,112,1,1
FC21,113,32,1
FC21,115,1,1
FC22,1,35,1
FC22,5,15,1
FC22,6,56,11
FC22,8,28,2
FC22,9,61,4
FC22,10,1276,36
FC22,11,60,1
FC22,12,200,1
FC22,15,2,1
FC22,16,2,1
FC22,18,306,6
FC22,22,5,1
FC22,23,225,2
FC22,29,87,2
FC22,32,2,1
FC22,36,12,1
FC22,38,78,4
FC22,40,220,5
FC22,45,233,11
FC22,46,3,1
FC22,49,10,1
FC22,101,1491,13
FC22,102,32,5
FC22,103,337,11
FC22,105,306,10
FC22,106,6,1
FC22,108,180,6
FC22,109,1,1
FC22,110,10,1
FC22,111,7,2
FC22,112,211,20
FC22,114,11,2
FC22,115,107,13
FC22,116,13,3
FC23,5,54,3
FC23,6,500,43
FC23,8,10,1
FC23,9,15,1
FC23,10,923,43
FC23,11,8,3
FC23,12,24,2
FC23,13,21,4
FC23,15,8,1
FC23,16,71,7
FC23,18,113,2
FC23,21,212,4
FC23,22,37,7
FC23,23,11,2
FC23,24,18,2
FC23,27,23,2
FC23,29,417,19
FC23,30,286,2
FC23,32,65,3
FC23,35,199,1
FC23,37,60,2
FC23,38,25,1
FC23,40,28,4
FC23,41,4,3
FC23,45,393,9
FC23,46,100,1
FC23,47,12,2
FC23,48,11,2
FC23,51,3,2
FC23,101,193,9
FC23,102,221,11
FC23,103,66,18
FC23,104,87,4
FC23,105,277,9
FC23,106,374,16
FC23,107,258,11
FC23,108,118,33
FC23,110,1,1
FC23,111,35,7
FC23,112,356,55
FC23,113,2,1
FC23,114,46,14
FC23,115,1439,116
FC23,116,168,17
FC24,5,6,1
FC24,6,191,15
FC24,8,5,1
FC24,9,176,4
FC24,10,1102,25
FC24,11,48,3
FC24,13,26,2
FC24,15,63,1
FC24,18,65,2
FC24,22,3,1
FC24,23,96,4
FC24,29,76,6
FC24,30,12,2
FC24,34,63,1
FC24,36,105,3
FC24,38,110,4
FC24,39,55,3
FC24,40,4,1
FC24,41,8,1
FC24,42,19,1
FC24,45,27,1
FC24,47,65,1
FC24,101,133,6
FC24,102,2,1
